,Dry Basis %,Moisture %,As Received,lbs/ton,Tons/day,lbs/day,lbs/yr,N2O lbs/day,CO2 lbs/day,CO2 tons/yr
Aluminum,0.181,15.5,0.152945,3.0589,24.0,73.4136,26795.964
Ammonia N,0.16,15.5,0.1352,2.7039999999999997,24.0,64.89599999999999,23687.039999999994,88.47920639999998,26366.803507199995,4811.941640063999
Boron,0.00296,15.5,0.0025012,0.050024,24.0,1.2005759999999999,438.21023999999994
Calcium,6.04,15.5,5.1038,102.07599999999998,24.0,2449.8239999999996,894185.7599999999
Copper,0.0102,15.5,0.008619,0.17238,24.0,4.13712,1510.0488
Iron,0.614,15.5,0.51883,10.376600000000002,24.0,249.03840000000002,90899.016
Magnesium,0.372,15.5,0.31434,6.2868,24.0,150.88320000000002,55072.36800000001
Manganese,0.0296,15.5,0.025012,0.50024,24.0,12.00576,4382.1024
Phosphorus,1.94,15.5,1.6393,75.1258404,24.0,1803.0201696,658102.3619039999
Potassium,0.159,15.5,0.134355,3.2368806599999993,24.0,77.68513583999999,28355.074581599994
Sodium,0.0714,15.5,0.060333000000000005,1.20666,24.0,28.95984,10570.3416
Sulfur,0.206,15.5,0.17406999999999997,3.4813999999999994,24.0,83.55359999999999,30497.063999999995
Total Kjeldahl Nitrogen,0.994,15.5,0.83993,16.7986,24.0,403.1664,147155.736,549.67706976,163803.76678848,29894.1874388976
Zinc,0.187,15.5,0.158015,3.1603,24.0,75.8472,27684.228
Aluminum,0.543,35.2,0.35186399999999995,7.037279999999999,24.0,168.89471999999998,61646.572799999994
Ammonia N,0.07,35.2,0.04536,0.9072,24.0,21.7728,7947.072,29.68503552,8846.14058496,1614.4206567551998
Boron,0.00386,35.2,0.00250128,0.050025599999999996,24.0,1.2006143999999999,438.22425599999997
Calcium,0.122,35.2,0.07905599999999999,1.5811199999999996,24.0,37.94687999999999,13850.611199999998
Copper,0.000535,35.2,0.0003466799999999999,0.006933599999999999,24.0,0.16640639999999998,60.738336
Iron,0.0801,35.2,0.051904799999999994,1.038096,24.0,24.914303999999998,9093.720959999999
Magnesium,0.0404,35.2,0.026179199999999996,0.5235839999999999,24.0,12.566015999999998,4586.595839999999
Manganese,0.000772,35.2,0.0005002559999999999,0.01000512,24.0,0.24012287999999998,87.64485119999999
Phosphorus,0.135,35.2,0.08747999999999999,4.00903344,24.0,96.21680255999999,35119.1329344
Potassium,0.0679,35.2,0.043999199999999995,1.0600287263999997,24.0,25.440689433599992,9285.851643263997
Sodium,0.0386,35.2,0.025012799999999998,0.5002559999999999,24.0,12.006143999999999,4382.24256
Sulfur,0.0125,35.2,0.0081,0.162,24.0,3.888,1419.12
Total Kjeldahl Nitrogen,0.092,35.2,0.05961599999999999,1.1923199999999996,24.0,28.61567999999999,10444.723199999997,39.01461811199999,11626.356197375995,2121.810006021119
Zinc,0.00125,35.2,0.00081,0.0162,24.0,0.3888,141.912
CO2 tons/day,46.15435444242352
