Sample Name,Corbet #5-6 Lagoon
Moisture,35.2
Tons/Day,24.0
co2PerDay,56.18997303460843
,lbs/day,Dry Basis %,As Received %,lbs/ton,lbs/yr,N2O lbs/day,CO2 lbs/day,CO2 tons/yr
sodium,lbs/day: 12.006143999999999,dryBasis%: 0.0386,lbs/yr: 4382.24256,lbs/ton: 0.5002559999999999,asReceived%: 0.025012799999999998
total kjeldahl nitrogen,lbs/day: 28.61567999999999,tons/yrCO2: 2121.810006021119,lbs/dayNO2: 39.01461811199999,lbs/dayCO2: 11626.356197375995,dryBasis%: 0.092,lbs/yr: 10444.723199999997,lbs/ton: 1.1923199999999996,asReceived%: 0.05961599999999999
phosphorus,lbs/day: 96.21680255999999,dryBasis%: 0.135,lbs/yr: 35119.1329344,lbs/ton: 4.00903344,asReceived%: 0.08747999999999999
boron,lbs/day: 1.181952,dryBasis%: 0.0038,lbs/yr: 431.41247999999996,lbs/ton: 0.04924799999999999,asReceived%: 0.0024623999999999996
potassium,lbs/day: 25.440689433599992,dryBasis%: 0.0679,lbs/yr: 9285.851643263997,lbs/ton: 1.0600287263999997,asReceived%: 0.043999199999999995
sulfur,lbs/day: 3.888,dryBasis%: 0.0125,lbs/yr: 1419.12,lbs/ton: 0.162,asReceived%: 0.0081
manganese,lbs/day: 0.21772799999999998,dryBasis%: 0.0007,lbs/yr: 79.47071999999999,lbs/ton: 0.009071999999999998,asReceived%: 0.0004535999999999999
aluminum,lbs/day: 168.89471999999998,dryBasis%: 0.543,lbs/yr: 61646.572799999994,lbs/ton: 7.037279999999999,asReceived%: 0.35186399999999995
iron,lbs/day: 24.914303999999998,dryBasis%: 0.0801,lbs/yr: 9093.720959999999,lbs/ton: 1.038096,asReceived%: 0.051904799999999994
copper,lbs/day: 0.16640639999999998,dryBasis%: 0.000535,lbs/yr: 60.738336,lbs/ton: 0.006933599999999999,asReceived%: 0.0003466799999999999
ammonia n,lbs/day: 21.7728,tons/yrCO2: 1614.4206567551998,lbs/dayNO2: 29.68503552,lbs/dayCO2: 8846.14058496,dryBasis%: 0.07,lbs/yr: 7947.072,lbs/ton: 0.9072,asReceived%: 0.04536
zinc,lbs/day: 0.3888,dryBasis%: 0.00125,lbs/yr: 141.912,lbs/ton: 0.0162,asReceived%: 0.00081
magnesium,lbs/day: 12.566015999999998,dryBasis%: 0.0404,lbs/yr: 4586.595839999999,lbs/ton: 0.5235839999999999,asReceived%: 0.026179199999999996
calcium,lbs/day: 37.94687999999999,dryBasis%: 0.122,lbs/yr: 13850.611199999998,lbs/ton: 1.5811199999999996,asReceived%: 0.07905599999999999
